Model,Metric,Mean,Std,Min,Max
logistic_regression,ROC AUC,0.5351326842306224,0.01921270434240108,0.5026668098510882,0.555764366170294
logistic_regression,ACCURACY,0.5665,0.02790061727712213,0.53875,0.61875
logistic_regression,PRECISION,0.032375678406867406,0.002177442626737994,0.029296875,0.03587443946188341
logistic_regression,RECALL,0.4666666666666667,0.055970671332249686,0.4027777777777778,0.5555555555555556
logistic_regression,F1,0.0605301994574091,0.004209762983468528,0.05474452554744526,0.06739679865206402
hist_gradient_boosting,ROC AUC,0.5229268088965254,0.01553473720512008,0.5055901584574265,0.5500787514318443
hist_gradient_boosting,ACCURACY,0.5093333333333334,0.018483476104047356,0.4795833333333333,0.5379166666666667
hist_gradient_boosting,PRECISION,0.032164322077803516,0.0020347237273155715,0.029914529914529916,0.03526448362720403
hist_gradient_boosting,RECALL,0.5277777777777779,0.03828902431136175,0.4861111111111111,0.5833333333333334
hist_gradient_boosting,F1,0.06062847122628565,0.0038353223705775543,0.05636070853462158,0.0665083135391924
knn,ROC AUC,0.5177202653684614,0.04550040788453597,0.45451806510118364,0.5955845504009164
knn,ACCURACY,0.6760833333333334,0.0073295444757653355,0.6633333333333333,0.6829166666666666
knn,PRECISION,0.031009724176058146,0.007291661241931268,0.022191400832177532,0.04353562005277045
knn,RECALL,0.325,0.08031573497111644,0.2222222222222222,0.4583333333333333
knn,F1,0.05661436215449471,0.013370404596006292,0.0403530895334174,0.07951807228915662
random_forest,ROC AUC,0.5136478617793051,0.028938143096216177,0.4886586006109202,0.5523607531500573
random_forest,ACCURACY,0.64425,0.025981296691616015,0.6025,0.6791666666666667
random_forest,PRECISION,0.03176178621192507,0.0022692059650556884,0.029342723004694836,0.03481012658227848
random_forest,RECALL,0.36944444444444446,0.05015408357018829,0.3055555555555556,0.4583333333333333
random_forest,F1,0.058465516723844146,0.0043797233793265175,0.05405405405405406,0.06470588235294118
xgboost,ROC AUC,0.5300394950362735,0.021590710556674674,0.5033529018709431,0.5556599608629248
xgboost,ACCURACY,0.03933333333333333,0.005168010577904551,0.032916666666666664,0.04833333333333333
xgboost,PRECISION,0.03012537083176075,0.0002615988044191449,0.02980688497061293,0.030560271646859084
xgboost,RECALL,0.9944444444444445,0.006804138174397694,0.9861111111111112,1.0
xgboost,F1,0.05847914685362312,0.0005022820447113948,0.05786471067644662,0.05930807248764415
